id,source,relation,target,sort_order,updated_at
graph-dali-place-weishan,大理,延伸古城,巍山古城,107,2026-05-28 00:19:27
graph-dali-place-xizhou,大理,古镇节点,喜洲古镇,105,2026-05-28 00:19:27
graph-dali-place-zhoucheng,大理,非遗节点,周城扎染,106,2026-05-28 00:19:27
graph-dali-rushan,大理,代表小吃,乳扇,64,2026-05-28 00:19:27
graph-dali-sour-spicy-fish,洱海,代表菜品,酸辣鱼,67,2026-05-28 00:19:27
graph-dali-xizhou-baba,喜洲古镇,代表小吃,喜洲粑粑,66,2026-05-28 00:19:27
graph-dehong-dai,德宏,关联民族,傣族,36,2026-05-28 00:19:27
graph-dehong-jingpo,德宏,关联民族,景颇族,37,2026-05-28 00:19:27
graph-dehong-place-mangshi,德宏,城市节点,芒市,138,2026-05-28 00:19:27
graph-dehong-place-moli,德宏,生态景区,莫里热带雨林,140,2026-05-28 00:19:27
graph-dehong-place-ruili,德宏,口岸节点,瑞丽,139,2026-05-28 00:19:27
graph-dehong-pounded-chicken,德宏,代表菜品,舂鸡脚,79,2026-05-28 00:19:27
graph-dehong-sapie,德宏,代表菜品,撒撇,78,2026-05-28 00:19:27
graph-dianchi-wetland,滇池,讲解主题,湿地生态修复,16,2026-05-28 00:19:27
graph-dulongjiang-dulong,独龙江,关联民族,独龙族,41,2026-05-28 00:19:27
graph-elephant-valley,野象谷,保护对象,亚洲象,50,2026-05-28 00:19:27
graph-flower-cake,云南美食,代表伴手礼,鲜花饼,56,2026-05-28 00:19:27
graph-fuxian-lake,玉溪,关联水域,抚仙湖,29,2026-05-28 00:19:27
graph-gaoligong-ecology,高黎贡山,讲解主题,生物多样性,47,2026-05-28 00:19:27
graph-greenlake-seagull,翠湖,季节景观,红嘴鸥,25,2026-05-28 00:19:27
graph-hani-festival-kuzhazha,哈尼族,节庆活动,苦扎扎节,168,2026-05-28 00:19:27
graph-hani-system,哈尼族,生态系统,森林-村寨-梯田-水系,15,2026-05-28 00:19:27
graph-heshun-overseas,和顺古镇,文化主题,侨乡文化,48,2026-05-28 00:19:27
graph-honghe-crossing-rice,红河,代表菜品,过桥米线,86,2026-05-28 00:19:27
graph-honghe-place-jianshui,红河,古城节点,建水古城,125,2026-05-28 00:19:27
graph-honghe-place-mile,红河,休闲节点,弥勒,127,2026-05-28 00:19:27
graph-honghe-place-shiping,红河,古城节点,石屏古城,128,2026-05-28 00:19:27
graph-honghe-place-yuanyang,红河,梯田景观,元阳梯田,126,2026-05-28 00:19:27
graph-honghe-shiping-tofu,石屏,代表菜品,石屏豆腐,87,2026-05-28 00:19:27
graph-jianshui-confucian,建水古城,重要节点,文庙,26,2026-05-28 00:19:27
graph-jianshui-pottery,建水,代表工艺,建水紫陶,27,2026-05-28 00:19:27
graph-jingmai-tea,景迈山,代表资源,古茶林,52,2026-05-28 00:19:27
graph-jingpo-munao,景颇族,重要节庆,目瑙纵歌,38,2026-05-28 00:19:27
graph-jinuo-drum,基诺族,文化符号,大鼓舞,173,2026-05-28 00:19:27
graph-kunming-dianchi,昆明,关联水域,滇池,23,2026-05-28 00:19:27
graph-kunming-flower-cake,昆明,伴手礼,鲜花饼,62,2026-05-28 00:19:27
graph-kunming-greenlake,昆明,城市公共空间,翠湖,24,2026-05-28 00:19:27
graph-kunming-place-dounan,昆明,产业景点,斗南花市,101,2026-05-28 00:19:27
graph-kunming-place-jiuxiang,昆明,周边景区,九乡,98,2026-05-28 00:19:27
graph-kunming-place-stone,昆明,周边景区,石林,97,2026-05-28 00:19:27
graph-kunming-place-west-hill,昆明,城市景点,西山,99,2026-05-28 00:19:27
graph-kunming-place-yuantong,昆明,城市景点,圆通山,100,2026-05-28 00:19:27
graph-kunming-rice-noodle,昆明,代表菜品,过桥米线,60,2026-05-28 00:19:27
graph-kunming-small-pot,昆明,代表菜品,小锅米线,61,2026-05-28 00:19:27
graph-kunming-steam-pot,昆明,代表菜品,汽锅鸡,63,2026-05-28 00:19:27
graph-lahu-festival,拉祜族,节庆活动,葫芦节,171,2026-05-28 00:19:27
graph-lijiang-butter-tea,丽江,饮食体验,酥油茶,70,2026-05-28 00:19:27
graph-lijiang-chickpea-jelly,丽江,代表小吃,鸡豆凉粉,69,2026-05-28 00:19:27
graph-lijiang-naxi,丽江古城,关联民族,纳西族,5,2026-05-28 00:19:27
graph-lijiang-place-baisha,丽江,古镇节点,白沙古镇,110,2026-05-28 00:19:27
graph-lijiang-place-lugu,丽江,延伸目的地,泸沽湖,111,2026-05-28 00:19:27
graph-lijiang-place-shuhe,丽江,古镇节点,束河古镇,109,2026-05-28 00:19:27
graph-lijiang-place-yulong,丽江,自然景观,玉龙雪山,108,2026-05-28 00:19:27
graph-lijiang-preserved-pork,丽江,代表菜品,腊排骨火锅,68,2026-05-28 00:19:27
graph-lincang-place-cangyuan,临沧,岩画景观,沧源崖画,146,2026-05-28 00:19:27
graph-lincang-place-tea,临沧,茶文化节点,冰岛茶区,147,2026-05-28 00:19:27
graph-lincang-place-wengding,临沧,村落景观,翁丁古寨,145,2026-05-28 00:19:27
graph-lisu-festival-knife,傈僳族,节庆活动,刀杆节,169,2026-05-28 00:19:27
graph-lugu-mosuo,泸沽湖,关联文化,摩梭文化,22,2026-05-28 00:19:27
graph-luoping-flower,罗平,季节景观,油菜花,30,2026-05-28 00:19:27
graph-manting-park,曼听公园,文化展示,傣族园林,51,2026-05-28 00:19:27
graph-meili-tibetan,梅里雪山,文化属性,神山信仰,42,2026-05-28 00:19:27
graph-miao-costume,苗族,文化符号,服饰银饰,174,2026-05-28 00:19:27
graph-mojiang-hani,墨江,关联民族,哈尼族,53,2026-05-28 00:19:27
graph-multilingual-guide,导游服务,能力要求,多语种讲解,58,2026-05-28 00:19:27
graph-naxi-dongba,纳西族,文化符号,东巴文字,6,2026-05-28 00:19:27
graph-naxi-festival-bangbang,纳西族,节庆活动,棒棒会,165,2026-05-28 00:19:27
graph-naxi-music,纳西族,音乐传统,纳西古乐,7,2026-05-28 00:19:27
graph-nujiang-lisu,怒江,关联民族,傈僳族,40,2026-05-28 00:19:27
graph-nujiang-place-bingzhongluo,怒江,峡谷节点,丙中洛,141,2026-05-28 00:19:27
graph-nujiang-place-dulongjiang,怒江,生态节点,独龙江,142,2026-05-28 00:19:27
graph-nujiang-stone-slate,怒江,饮食体验,石板粑粑,80,2026-05-28 00:19:27
graph-nuodeng-salt,诺邓古村,历史记忆,盐业,46,2026-05-28 00:19:27
graph-photo-banna,西双版纳,摄影主题,雨林光影,195,2026-05-28 00:19:27
graph-photo-erhai,洱海,摄影主题,日出日落,188,2026-05-28 00:19:27
graph-photo-luoping,罗平油菜花,摄影主题,春季花海,190,2026-05-28 00:19:27
graph-photo-meili,梅里雪山,摄影主题,日照金山,191,2026-05-28 00:19:27
graph-photo-puzhehei,普者黑,摄影主题,荷花湿地,192,2026-05-28 00:19:27
graph-photo-shaxi,沙溪古镇,摄影主题,古镇街巷,194,2026-05-28 00:19:27
graph-photo-tiger,虎跳峡,摄影主题,峡谷水势,193,2026-05-28 00:19:27
graph-photo-yuanyang,元阳梯田,摄影主题,日出云海,189,2026-05-28 00:19:27
graph-puer-avocado,普洱,农产品,咖啡,76,2026-05-28 00:19:27
graph-puer-place-jingmai,普洱,茶文化景观,景迈山,121,2026-05-28 00:19:27
graph-puer-place-nakao,普洱,咖啡体验,那柯里,122,2026-05-28 00:19:27
graph-puer-tea,普洱,代表文化,普洱茶,17,2026-05-28 00:19:27
graph-puer-tea-food,普洱,饮食主题,普洱茶宴,75,2026-05-28 00:19:27
graph-puzhehei-wetland,普者黑,景观类型,喀斯特湿地,31,2026-05-28 00:19:27
graph-qujing-ham,宣威,代表食材,宣威火腿,89,2026-05-28 00:19:27
graph-qujing-place-jiulong,曲靖,自然景区,九龙瀑布,132,2026-05-28 00:19:27
graph-qujing-place-luoping,曲靖,季节景观,罗平油菜花,131,2026-05-28 00:19:27
graph-qujing-steamed-bait,曲靖,代表小吃,蒸饵丝,88,2026-05-28 00:19:27
graph-rice-noodle,云南美食,代表品类,米线,55,2026-05-28 00:19:27
graph-road-dali,茶马古道,连接节点,大理古城,18,2026-05-28 00:19:27
graph-road-lijiang,茶马古道,连接节点,丽江古城,19,2026-05-28 00:19:27
graph-ruili-border,瑞丽,旅游主题,边境文旅,39,2026-05-28 00:19:27
graph-safety-border,边境文旅,安全提醒,口岸拍摄限制,199,2026-05-28 00:19:27
graph-safety-geothermal,地热景区,安全提醒,远离高温泉眼,203,2026-05-28 00:19:27
graph-safety-highland,高原路线,安全提醒,高原反应,196,2026-05-28 00:19:27
graph-safety-mushroom,美食体验,安全提醒,野生菌中毒风险,197,2026-05-28 00:19:27
graph-safety-rainforest,雨林步道,安全提醒,防滑防蚊,202,2026-05-28 00:19:27
graph-safety-temple,寺院参观,礼仪提醒,禁止触摸法器,198,2026-05-28 00:19:27
graph-safety-terrace,梯田摄影,安全提醒,不进入未开放田埂,201,2026-05-28 00:19:27
graph-safety-wetland,湿地游览,生态提醒,不投喂候鸟,200,2026-05-28 00:19:27
graph-service-admin,管理端,核心功能,知识库管理,209,2026-05-28 00:19:27
graph-service-guide,导游端,核心功能,回答修正,208,2026-05-28 00:19:27
graph-service-image,游客端,核心功能,图片理解,205,2026-05-28 00:19:27
graph-service-kg,管理端,核心功能,知识图谱管理,210,2026-05-28 00:19:27
graph-service-route,游客端,核心功能,路线推荐,206,2026-05-28 00:19:27
graph-service-student,学生端,核心功能,实训评分,207,2026-05-28 00:19:27
graph-service-visitor,游客端,核心功能,AI导览问答,204,2026-05-28 00:19:27
graph-shangrila-barley-wine,香格里拉,饮食体验,青稞酒,82,2026-05-28 00:19:27
graph-shangrila-place-dukezong,香格里拉,古城节点,独克宗古城,114,2026-05-28 00:19:27
graph-shangrila-place-meili,迪庆,自然景观,梅里雪山,115,2026-05-28 00:19:27
graph-shangrila-place-pudacuo,香格里拉,生态景区,普达措,112,2026-05-28 00:19:27
graph-shangrila-place-songzanlin,香格里拉,寺院节点,松赞林寺,113,2026-05-28 00:19:27
graph-shangrila-tibetan,香格里拉,关联民族,藏族,20,2026-05-28 00:19:27
graph-shangrila-yak-hotpot,香格里拉,代表菜品,牦牛肉火锅,81,2026-05-28 00:19:27
graph-shaxi-road,沙溪古镇,关联线路,茶马古道,44,2026-05-28 00:19:27
graph-stone-karst,石林,地貌类型,喀斯特地貌,13,2026-05-28 00:19:27
graph-stone-yi,石林,关联民族,彝族撒尼人,11,2026-05-28 00:19:27
graph-tengchong-er-si,腾冲,代表小吃,大救驾,83,2026-05-28 00:19:27
graph-tengchong-geology,腾冲,地质景观,火山热海,21,2026-05-28 00:19:27
graph-tengchong-tou-nao,腾冲,代表小吃,稀豆粉,84,2026-05-28 00:19:27
graph-tiger-jinsha,虎跳峡,关联水系,金沙江,43,2026-05-28 00:19:27
graph-tuanshan-village,建水,传统村落,团山村,28,2026-05-28 00:19:27
graph-wa-festival-wood-drum,佤族,文化符号,木鼓,170,2026-05-28 00:19:27
graph-weishan-nanzhao,巍山古城,历史记忆,南诏,45,2026-05-28 00:19:27
graph-wenshan-miao,文山,关联民族,苗族,33,2026-05-28 00:19:27
graph-wenshan-place-bamei,文山,村落景观,坝美,130,2026-05-28 00:19:27
graph-wenshan-place-puzhehei,文山,自然景区,普者黑,129,2026-05-28 00:19:27
graph-wenshan-sanqi,文山,代表药食资源,三七,91,2026-05-28 00:19:27
graph-wenshan-zhuang,文山,关联民族,壮族,32,2026-05-28 00:19:27
graph-wild-mushroom,云南美食,安全主题,野生菌,57,2026-05-28 00:19:27
graph-yi-ashima,彝族撒尼人,民间叙事,阿诗玛传说,12,2026-05-28 00:19:27
graph-yi-torch,彝族,重要节庆,火把节,35,2026-05-28 00:19:27
graph-yuanyang-hani,元阳梯田,关联民族,哈尼族,14,2026-05-28 00:19:27
graph-yunnan-chili,云南美食,风味元素,蘸水,95,2026-05-28 00:19:27
graph-yunnan-ethnic-bai,云南,世居民族,白族,148,2026-05-28 00:19:27
graph-yunnan-ethnic-bulang,云南,世居民族,布朗族,159,2026-05-28 00:19:27
graph-yunnan-ethnic-dai,云南,世居民族,傣族,150,2026-05-28 00:19:27
graph-yunnan-ethnic-dulong,云南,世居民族,独龙族,156,2026-05-28 00:19:27
graph-yunnan-ethnic-hani,云南,世居民族,哈尼族,152,2026-05-28 00:19:27
graph-yunnan-ethnic-jingpo,云南,世居民族,景颇族,154,2026-05-28 00:19:27
graph-yunnan-ethnic-jinuo,云南,世居民族,基诺族,160,2026-05-28 00:19:27
graph-yunnan-ethnic-lahu,云南,世居民族,拉祜族,158,2026-05-28 00:19:27
graph-yunnan-ethnic-lisu,云南,世居民族,傈僳族,155,2026-05-28 00:19:27
graph-yunnan-ethnic-miao,云南,世居民族,苗族,161,2026-05-28 00:19:27
graph-yunnan-ethnic-naxi,云南,世居民族,纳西族,149,2026-05-28 00:19:27
graph-yunnan-ethnic-tibetan,云南,世居民族,藏族,153,2026-05-28 00:19:27
graph-yunnan-ethnic-wa,云南,世居民族,佤族,157,2026-05-28 00:19:27
graph-yunnan-ethnic-yi,云南,世居民族,彝族,151,2026-05-28 00:19:27
graph-yunnan-ethnic-zhuang,云南,世居民族,壮族,162,2026-05-28 00:19:27
graph-yunnan-flower,云南美食,创新食材,鲜花,96,2026-05-28 00:19:27
graph-yunnan-ham,云南美食,重要食材,火腿,94,2026-05-28 00:19:27
graph-yunnan-heritage-dongba,丽江,非遗主题,东巴文化,178,2026-05-28 00:19:27
graph-yunnan-heritage-embroidery,彝族,传统工艺,刺绣,182,2026-05-28 00:19:27
graph-yunnan-heritage-longstreet,元阳,节庆体验,长街宴,186,2026-05-28 00:19:27
graph-yunnan-heritage-munao,德宏,节庆体验,目瑙纵歌,185,2026-05-28 00:19:27
graph-yunnan-heritage-naxi-music,丽江,非遗主题,纳西古乐,179,2026-05-28 00:19:27
graph-yunnan-heritage-paper,傣族,传统工艺,傣纸,180,2026-05-28 00:19:27
graph-yunnan-heritage-purple-pottery,建水,非遗体验,紫陶,177,2026-05-28 00:19:27
graph-yunnan-heritage-silver,苗族,传统工艺,银饰制作,181,2026-05-28 00:19:27
graph-yunnan-heritage-tea,普洱,非遗体验,制茶技艺,183,2026-05-28 00:19:27
graph-yunnan-heritage-tie-dye,大理,非遗体验,白族扎染,176,2026-05-28 00:19:27
graph-yunnan-heritage-torch,楚雄,节庆体验,火把节,184,2026-05-28 00:19:27
graph-yunnan-heritage-water,西双版纳,节庆体验,泼水节,187,2026-05-28 00:19:27
graph-yunnan-mushroom,云南美食,季节食材,野生菌,93,2026-05-28 00:19:27
graph-yuxi-copper-pot,玉溪,代表菜品,铜锅鱼,85,2026-05-28 00:19:27
graph-yuxi-nieer,玉溪,文化记忆,聂耳,54,2026-05-28 00:19:27
graph-yuxi-place-fuxian,玉溪,湖泊景观,抚仙湖,123,2026-05-28 00:19:27
graph-yuxi-place-mojiang,玉溪,延伸目的地,墨江,124,2026-05-28 00:19:27
graph-zhaotong-apple,昭通,代表农产品,昭通苹果,90,2026-05-28 00:19:27
graph-zhaotong-place-dashanbao,昭通,生态景区,大山包,143,2026-05-28 00:19:27
graph-zhaotong-place-zhaotong-old,昭通,城市节点,昭通古城,144,2026-05-28 00:19:27
graph-zhuang-song,壮族,文化表达,山歌,175,2026-05-28 00:19:27
